NombreEjercicio,URLImagen,Descripcion
"Abdominales con rueda","images/abdominales_rueda.webp","Ejercicio para fortalecer el core usando la rueda abdominal."
"Flexiones","images/flexiones_suelo.webp","Ejercicio clásico para pecho, hombros y tríceps."
"Sentadillas saco","images/sentadillas_saco.webp","Ejercicio fundamental para piernas y glúteos."
"Jamping Jacks","images/jumping_jacks.webp","Ejercicio cardiovascular simple."
"Dominadas en barra","images/abdominadas_barra.webp","Ejercicio de tracción para espalda y bíceps usando una barra."
"Flexiones de hombros","images/flexiones_hombros.webp","Ejercicio avanzado para deltoides."
"Flexiones inclinadas","images/flexiones_inclinadas.webp","Variación de flexiones para enfocar la parte inferior del pecho."
"Peso muerto","images/peso_muerto.webp","Ejercicio compuesto para la cadena posterior, espalda baja y piernas."
"Press Arnold","images/press_arnold.webp","Variación de press de hombros para un desarrollo completo del deltoides."
"Press militar","images/press_militar.webp","Ejercicio de press vertical para hombros y tríceps."
"Remo con TRX","images/remo_trx.webp","Ejercicio de tracción para la espalda usando suspensión TRX."
"Remo de aire","images/remo.webp","Ejercicio de tracción para fortalecer la espalda media y alta."
"Renegade Row","images/renegade_row.webp","Fortalece espalda, core y brazos en un solo movimiento, mejorando fuerza y estabilidad."
"Sentadillas con saco","images/sentadillas_saco.webp","Refuerza el core y mejora la postura mientras trabajas cuádriceps y glúteos."
"Burpees","images/burpees.webp","Ejercicio de cuerpo completo que combina sentadilla, plancha y salto."
"Elevaciones laterales con banda","images/hombros_banda.webp","Ejercicio para deltoides laterales usando una banda de resistencia."
"Remo con banda","images/remo_banda.webp","Ejercicio de tracción para la espalda usando una banda de resistencia."
"Escaladores","images/escaladores.webp","Ejercicio cardiovascular y de core que simula escalar (mountain climbers)."
"Bicicleta de Aire","images/bici.webp","Ejercicio cardiovascular de alta intensidad en bicicleta de aire (air bike)."
"Hip Thrust con peso","images/hip_thrust.webp","Ejercicio para glúteos e isquiotibiales, realizado con peso sobre la cadera."
"Remo prono con mancuernas","images/espalda_mancuernas_boca_abajo.webp","Ejercicio para la espalda (dorsales, romboides) tumbado boca abajo en un banco, usando mancuernas."
"Aperturas con TRX","images/aperturas_trx.webp","Activa el pecho y estabiliza hombros mientras desafías el core con tu propio peso"
"Pull Over con manuernas","images/pull_over_mancuernas.webp","Este ejercicio es multifuncional, pero se enfoca principalmente en dorsales (extender brazos al bajar) y pectoral (contraer)."
"Elevaciones para hombros con mancuernas","images/elevaciones_mancuernas_hombros.webp","Este ejercicio para desarrollar los hombros."
"Remo con mancuernas","images/remo_mancuernas.webp","Para el desarrollo del dorsal, core, brazo."
"Estocada lateral con saco","images/zancada_lateral_saco.webp","Activa aductores y glúteos medios, mejorando movilidad y equilibrio"
"Estocada frontal con saco","images/zancada_frontal_saco.webp","Potencia piernas y glúteos, mejorando fuerza y estabilidad."
"Swing con saco","images/swing_saco.webp","Balanceo con saco activa glúteos, core y cadena posterior con potencia explosiva y control."
"Curl de biceps con banda","images/curl_biceps_bandas.webp","Fortalece bíceps manteniendo tensión progresiva durante todo el movimiento."
"Extensión de tríceps con banda","images/extension_triceps_bandas.webp","Ejercicio de empuje para fortalecer y definir el tríceps con resistencia progresiva."
"Curl de biceps con saco","images/curl_biceps_saco.webp","Ejercicio de tracción para fortalecer y aumentar el volumen del bíceps."
"Curl de biceps con mancuerna","images/curl_biceps_mancuerna.webp","Ejercicio de tracción para fortalecer y aumentar el volumen del bíceps."
"Elevaciones frontales con banda","images/elevaciones_frontales_banda.webp","Ejercicio de empuje para fortalecer la parte frontal del hombro (deltoides anterior) con resistencia progresiva."
"Pull over con banda","images/pull_over_gomas.webp","Ejercicio de tracción para trabajar dorsal ancho, pectoral y core con resistencia progresiva."
